Country,Total Death,Crew Death,Passengers Death,Ground Death,Type,Incident,Aircraft
India,94,9,85,0,COM,Alitalia Flight 771,McDonnell Douglas DC-8-43
India,63,8,55,0,COM,United Arab Airlines Flight 869,de Havilland Comet 4C
India,98,6,92,0,MIL,Indian Air Force Flight 203,Antonov An-12BP
India,86,10,72,4,COM,Japan Airlines Flight 471,Douglas DC-8-53
india,95,6,89,0,COM,Indian Airlines Flight 171,Sud Aviation SE-210 Caravelle VIN
India,213,23,190,0,COM,Air India Flight 855,Boeing 747-237B
india,78,7,70,1,MIL,Indian Air Force,Antonov An-12
India,133,6,127,0,COM,Indian Airlines Flight 113,Boeing 737-2A8
India,92,4,88,0,COM,Indian Airlines Flight 605,Airbus A320-231
India,69,6,63,0,COM,Indian Airlines Flight 257,Boeing 737-2A8
India,56,2,53,0,COM,Indian Airlines Flight 491,Boeing 737-2A8
India,349,33,316,0,COM,Saudi Arabian Flight 763 andKazakhstan Airlines Flight 1907,Boeing 747-168B and Ilyushin Il-76TD
India,60,6,49,5,COM,Alliance Air Flight 7412,Boeing 737-2A8
India,158,6,152,0,COM,Air India Express Flight 812,Boeing 737-8HG
IndianOcean,159,19,140,0,COM,South African Airways Flight 295,Boeing 747-244B
IndianOcean,239,12,227,0,COM,Malaysia Airlines Flight 370,Boeing 777-2H6ER
Indonesia,58,9,49,0,COM,KLM Flight 844,Lockheed 1049E
Indonesia,69,7,62,0,COM,Merpati Nusantara Airlines Viscount (PK-MVS),Vickers Viscount 828
Indonesia,107,11,96,0,COM,Pan Am Flight 812,Boeing 707-321B
Indonesia,61,4,57,0,COM,Garuda Indonesia (PK-GVE),Fokker F28-1000 Fellowship
Indonesia,135,12,121,2,MIL,Indonesian Air Force (A-1324),Lockheed C-130H-30 Hercules
Indonesia,70,7,63,0,COM,Mandala Airlines Flight 660,Vickers Viscount 816
Indonesia,234,12,222,0,COM,Garuda Indonesia Flight 152,Airbus A300B4-220
Indonesia,104,7,97,0,COM,SilkAir Flight 185,Boeing 737-36N
Indonesia,149,5,95,49,COM,Mandala Airlines Flight 091,Boeing 737-230
Indonesia,102,6,96,0,COM,Adam Air Flight 574,Boeing 737-4Q8
Indonesia,99,0,0,2,MIL,Indonesian Air Force (A-1325),Lockheed C-130H Hercules
Indonesia,139,12,110,17,MIL,Indonesian Air Force (A-1310),Lockheed C-130 Hercules
Indonesia,62,12,50,0,COM,Sriwijaya Air Flight 182,Boeing 737-524
